structure,x,z,coordinate_kind
mineshaft_chunk,-2104,-2504,chunk
mineshaft_center,-33656,-40056,block_center
mineshaft_chunk,-2104,-1880,chunk
mineshaft_center,-33656,-30072,block_center
mineshaft_chunk,-2088,1272,chunk
mineshaft_center,-33400,20360,block_center
mineshaft_chunk,-2072,552,chunk
mineshaft_center,-33144,8840,block_center
mineshaft_chunk,-2056,-312,chunk
mineshaft_center,-32888,-4984,block_center
mineshaft_chunk,-2040,-2328,chunk
mineshaft_center,-32632,-37240,block_center
mineshaft_chunk,-2024,-1528,chunk
mineshaft_center,-32376,-24440,block_center
mineshaft_chunk,-2008,-2184,chunk
mineshaft_center,-32120,-34936,block_center
mineshaft_chunk,-2008,520,chunk
mineshaft_center,-32120,8328,block_center
mineshaft_chunk,-2008,2168,chunk
mineshaft_center,-32120,34696,block_center
mineshaft_chunk,-2008,2552,chunk
mineshaft_center,-32120,40840,block_center
mineshaft_chunk,-1992,-2264,chunk
mineshaft_center,-31864,-36216,block_center
mineshaft_chunk,-1992,-1192,chunk
mineshaft_center,-31864,-19064,block_center
mineshaft_chunk,-1992,2040,chunk
mineshaft_center,-31864,32648,block_center
mineshaft_chunk,-1976,1176,chunk
mineshaft_center,-31608,18824,block_center
mineshaft_chunk,-1960,-1384,chunk
mineshaft_center,-31352,-22136,block_center
mineshaft_chunk,-1960,184,chunk
mineshaft_center,-31352,2952,block_center
mineshaft_chunk,-1944,-2136,chunk
mineshaft_center,-31096,-34168,block_center
mineshaft_chunk,-1944,-616,chunk
mineshaft_center,-31096,-9848,block_center
mineshaft_chunk,-1944,1992,chunk
mineshaft_center,-31096,31880,block_center
mineshaft_chunk,-1912,-2104,chunk
mineshaft_center,-30584,-33656,block_center
mineshaft_chunk,-1912,-536,chunk
mineshaft_center,-30584,-8568,block_center
mineshaft_chunk,-1912,-312,chunk
mineshaft_center,-30584,-4984,block_center
mineshaft_chunk,-1912,904,chunk
mineshaft_center,-30584,14472,block_center
mineshaft_chunk,-1912,1800,chunk
mineshaft_center,-30584,28808,block_center
mineshaft_chunk,-1896,-1816,chunk
mineshaft_center,-30328,-29048,block_center
mineshaft_chunk,-1864,1272,chunk
mineshaft_center,-29816,20360,block_center
mineshaft_chunk,-1864,1944,chunk
mineshaft_center,-29816,31112,block_center
mineshaft_chunk,-1848,808,chunk
mineshaft_center,-29560,12936,block_center
mineshaft_chunk,-1848,1368,chunk
mineshaft_center,-29560,21896,block_center
mineshaft_chunk,-1848,1800,chunk
mineshaft_center,-29560,28808,block_center
mineshaft_chunk,-1832,-2168,chunk
mineshaft_center,-29304,-34680,block_center
mineshaft_chunk,-1832,-344,chunk
mineshaft_center,-29304,-5496,block_center
mineshaft_chunk,-1816,-1144,chunk
mineshaft_center,-29048,-18296,block_center
mineshaft_chunk,-1816,584,chunk
mineshaft_center,-29048,9352,block_center
mineshaft_chunk,-1800,24,chunk
mineshaft_center,-28792,392,block_center
mineshaft_chunk,-1800,2248,chunk
mineshaft_center,-28792,35976,block_center
mineshaft_chunk,-1784,1896,chunk
mineshaft_center,-28536,30344,block_center
mineshaft_chunk,-1768,776,chunk
mineshaft_center,-28280,12424,block_center
mineshaft_chunk,-1768,792,chunk
mineshaft_center,-28280,12680,block_center
mineshaft_chunk,-1768,2072,chunk
mineshaft_center,-28280,33160,block_center
mineshaft_chunk,-1752,-2520,chunk
mineshaft_center,-28024,-40312,block_center
mineshaft_chunk,-1752,-1432,chunk
mineshaft_center,-28024,-22904,block_center
mineshaft_chunk,-1720,1016,chunk
mineshaft_center,-27512,16264,block_center
mineshaft_chunk,-1688,-1080,chunk
mineshaft_center,-27000,-17272,block_center
mineshaft_chunk,-1672,-1128,chunk
mineshaft_center,-26744,-18040,block_center
mineshaft_chunk,-1672,-760,chunk
mineshaft_center,-26744,-12152,block_center
mineshaft_chunk,-1624,-2024,chunk
mineshaft_center,-25976,-32376,block_center
mineshaft_chunk,-1624,1736,chunk
mineshaft_center,-25976,27784,block_center
mineshaft_chunk,-1624,1816,chunk
mineshaft_center,-25976,29064,block_center
mineshaft_chunk,-1608,2056,chunk
mineshaft_center,-25720,32904,block_center
mineshaft_chunk,-1592,-1016,chunk
mineshaft_center,-25464,-16248,block_center
mineshaft_chunk,-1576,2552,chunk
mineshaft_center,-25208,40840,block_center
mineshaft_chunk,-1560,2328,chunk
mineshaft_center,-24952,37256,block_center
mineshaft_chunk,-1512,1480,chunk
mineshaft_center,-24184,23688,block_center
mineshaft_chunk,-1512,2472,chunk
mineshaft_center,-24184,39560,block_center
mineshaft_chunk,-1496,-1960,chunk
mineshaft_center,-23928,-31352,block_center
mineshaft_chunk,-1496,-1720,chunk
mineshaft_center,-23928,-27512,block_center
mineshaft_chunk,-1496,-1288,chunk
mineshaft_center,-23928,-20600,block_center
mineshaft_chunk,-1496,2280,chunk
mineshaft_center,-23928,36488,block_center
mineshaft_chunk,-1480,1720,chunk
mineshaft_center,-23672,27528,block_center
mineshaft_chunk,-1448,-1464,chunk
mineshaft_center,-23160,-23416,block_center
mineshaft_chunk,-1432,-1720,chunk
mineshaft_center,-22904,-27512,block_center
mineshaft_chunk,-1432,-1272,chunk
mineshaft_center,-22904,-20344,block_center
mineshaft_chunk,-1416,1208,chunk
mineshaft_center,-22648,19336,block_center
mineshaft_chunk,-1384,-104,chunk
mineshaft_center,-22136,-1656,block_center
mineshaft_chunk,-1384,1752,chunk
mineshaft_center,-22136,28040,block_center
mineshaft_chunk,-1368,24,chunk
mineshaft_center,-21880,392,block_center
mineshaft_chunk,-1336,2088,chunk
mineshaft_center,-21368,33416,block_center
mineshaft_chunk,-1320,2536,chunk
mineshaft_center,-21112,40584,block_center
mineshaft_chunk,-1304,-2088,chunk
mineshaft_center,-20856,-33400,block_center
mineshaft_chunk,-1304,2264,chunk
mineshaft_center,-20856,36232,block_center
mineshaft_chunk,-1288,-1672,chunk
mineshaft_center,-20600,-26744,block_center
mineshaft_chunk,-1272,168,chunk
mineshaft_center,-20344,2696,block_center
mineshaft_chunk,-1176,-968,chunk
mineshaft_center,-18808,-15480,block_center
mineshaft_chunk,-1176,200,chunk
mineshaft_center,-18808,3208,block_center
mineshaft_chunk,-1176,808,chunk
mineshaft_center,-18808,12936,block_center
mineshaft_chunk,-1160,-1976,chunk
mineshaft_center,-18552,-31608,block_center
mineshaft_chunk,-1160,-632,chunk
mineshaft_center,-18552,-10104,block_center
mineshaft_chunk,-1160,-248,chunk
mineshaft_center,-18552,-3960,block_center
mineshaft_chunk,-1160,856,chunk
mineshaft_center,-18552,13704,block_center
mineshaft_chunk,-1144,-2440,chunk
mineshaft_center,-18296,-39032,block_center
mineshaft_chunk,-1144,-8,chunk
mineshaft_center,-18296,-120,block_center
mineshaft_chunk,-1144,728,chunk
mineshaft_center,-18296,11656,block_center
mineshaft_chunk,-1128,-104,chunk
mineshaft_center,-18040,-1656,block_center
mineshaft_chunk,-1128,392,chunk
mineshaft_center,-18040,6280,block_center
mineshaft_chunk,-1096,-152,chunk
mineshaft_center,-17528,-2424,block_center
mineshaft_chunk,-1080,-120,chunk
mineshaft_center,-17272,-1912,block_center
mineshaft_chunk,-1048,-1752,chunk
mineshaft_center,-16760,-28024,block_center
mineshaft_chunk,-1032,1544,chunk
mineshaft_center,-16504,24712,block_center
mineshaft_chunk,-1000,232,chunk
mineshaft_center,-15992,3720,block_center
mineshaft_chunk,-984,2136,chunk
mineshaft_center,-15736,34184,block_center
mineshaft_chunk,-968,-1976,chunk
mineshaft_center,-15480,-31608,block_center
mineshaft_chunk,-968,-1960,chunk
mineshaft_center,-15480,-31352,block_center
mineshaft_chunk,-968,-1736,chunk
mineshaft_center,-15480,-27768,block_center
mineshaft_chunk,-968,-1272,chunk
mineshaft_center,-15480,-20344,block_center
mineshaft_chunk,-968,2088,chunk
mineshaft_center,-15480,33416,block_center
mineshaft_chunk,-904,-2392,chunk
mineshaft_center,-14456,-38264,block_center
mineshaft_chunk,-904,-1592,chunk
mineshaft_center,-14456,-25464,block_center
mineshaft_chunk,-888,680,chunk
mineshaft_center,-14200,10888,block_center
mineshaft_chunk,-856,824,chunk
mineshaft_center,-13688,13192,block_center
mineshaft_chunk,-824,-2248,chunk
mineshaft_center,-13176,-35960,block_center
mineshaft_chunk,-824,168,chunk
mineshaft_center,-13176,2696,block_center
mineshaft_chunk,-808,-968,chunk
mineshaft_center,-12920,-15480,block_center
mineshaft_chunk,-808,2424,chunk
mineshaft_center,-12920,38792,block_center
mineshaft_chunk,-760,-1736,chunk
mineshaft_center,-12152,-27768,block_center
mineshaft_chunk,-728,8,chunk
mineshaft_center,-11640,136,block_center
mineshaft_chunk,-728,872,chunk
mineshaft_center,-11640,13960,block_center
mineshaft_chunk,-712,-1464,chunk
mineshaft_center,-11384,-23416,block_center
mineshaft_chunk,-696,-2424,chunk
mineshaft_center,-11128,-38776,block_center
mineshaft_chunk,-696,-1720,chunk
mineshaft_center,-11128,-27512,block_center
mineshaft_chunk,-648,-1688,chunk
mineshaft_center,-10360,-27000,block_center
mineshaft_chunk,-616,-456,chunk
mineshaft_center,-9848,-7288,block_center
mineshaft_chunk,-600,-1416,chunk
mineshaft_center,-9592,-22648,block_center
mineshaft_chunk,-568,2200,chunk
mineshaft_center,-9080,35208,block_center
mineshaft_chunk,-552,1784,chunk
mineshaft_center,-8824,28552,block_center
mineshaft_chunk,-536,-1928,chunk
mineshaft_center,-8568,-30840,block_center
mineshaft_chunk,-536,104,chunk
mineshaft_center,-8568,1672,block_center
mineshaft_chunk,-536,1288,chunk
mineshaft_center,-8568,20616,block_center
mineshaft_chunk,-536,2024,chunk
mineshaft_center,-8568,32392,block_center
mineshaft_chunk,-520,1544,chunk
mineshaft_center,-8312,24712,block_center
mineshaft_chunk,-520,2504,chunk
mineshaft_center,-8312,40072,block_center
mineshaft_chunk,-488,-2440,chunk
mineshaft_center,-7800,-39032,block_center
mineshaft_chunk,-488,952,chunk
mineshaft_center,-7800,15240,block_center
mineshaft_chunk,-344,1800,chunk
mineshaft_center,-5496,28808,block_center
mineshaft_chunk,-312,-1672,chunk
mineshaft_center,-4984,-26744,block_center
mineshaft_chunk,-312,-1032,chunk
mineshaft_center,-4984,-16504,block_center
mineshaft_chunk,-296,-2216,chunk
mineshaft_center,-4728,-35448,block_center
mineshaft_chunk,-280,1656,chunk
mineshaft_center,-4472,26504,block_center
mineshaft_chunk,-248,-1336,chunk
mineshaft_center,-3960,-21368,block_center
mineshaft_chunk,-248,-328,chunk
mineshaft_center,-3960,-5240,block_center
mineshaft_chunk,-248,1912,chunk
mineshaft_center,-3960,30600,block_center
mineshaft_chunk,-232,-1960,chunk
mineshaft_center,-3704,-31352,block_center
mineshaft_chunk,-232,-1400,chunk
mineshaft_center,-3704,-22392,block_center
mineshaft_chunk,-232,-936,chunk
mineshaft_center,-3704,-14968,block_center
mineshaft_chunk,-216,2024,chunk
mineshaft_center,-3448,32392,block_center
mineshaft_chunk,-184,-2040,chunk
mineshaft_center,-2936,-32632,block_center
mineshaft_chunk,-168,-1416,chunk
mineshaft_center,-2680,-22648,block_center
mineshaft_chunk,-120,-1784,chunk
mineshaft_center,-1912,-28536,block_center
mineshaft_chunk,-120,-1528,chunk
mineshaft_center,-1912,-24440,block_center
mineshaft_chunk,-120,-536,chunk
mineshaft_center,-1912,-8568,block_center
mineshaft_chunk,-104,2040,chunk
mineshaft_center,-1656,32648,block_center
mineshaft_chunk,-88,1336,chunk
mineshaft_center,-1400,21384,block_center
mineshaft_chunk,-88,1352,chunk
mineshaft_center,-1400,21640,block_center
mineshaft_chunk,-56,-2520,chunk
mineshaft_center,-888,-40312,block_center
mineshaft_chunk,-56,-2088,chunk
mineshaft_center,-888,-33400,block_center
mineshaft_chunk,-40,-232,chunk
mineshaft_center,-632,-3704,block_center
mineshaft_chunk,24,1368,chunk
mineshaft_center,392,21896,block_center
mineshaft_chunk,40,-712,chunk
mineshaft_center,648,-11384,block_center
mineshaft_chunk,104,1432,chunk
mineshaft_center,1672,22920,block_center
mineshaft_chunk,104,2552,chunk
mineshaft_center,1672,40840,block_center
mineshaft_chunk,136,1080,chunk
mineshaft_center,2184,17288,block_center
mineshaft_chunk,136,1544,chunk
mineshaft_center,2184,24712,block_center
mineshaft_chunk,136,1640,chunk
mineshaft_center,2184,26248,block_center
mineshaft_chunk,136,2216,chunk
mineshaft_center,2184,35464,block_center
mineshaft_chunk,168,-1992,chunk
mineshaft_center,2696,-31864,block_center
mineshaft_chunk,184,1592,chunk
mineshaft_center,2952,25480,block_center
mineshaft_chunk,232,1448,chunk
mineshaft_center,3720,23176,block_center
mineshaft_chunk,264,888,chunk
mineshaft_center,4232,14216,block_center
mineshaft_chunk,264,1560,chunk
mineshaft_center,4232,24968,block_center
mineshaft_chunk,264,1576,chunk
mineshaft_center,4232,25224,block_center
mineshaft_chunk,296,-984,chunk
mineshaft_center,4744,-15736,block_center
mineshaft_chunk,296,-696,chunk
mineshaft_center,4744,-11128,block_center
mineshaft_chunk,296,2040,chunk
mineshaft_center,4744,32648,block_center
mineshaft_chunk,328,1000,chunk
mineshaft_center,5256,16008,block_center
mineshaft_chunk,344,488,chunk
mineshaft_center,5512,7816,block_center
mineshaft_chunk,344,568,chunk
mineshaft_center,5512,9096,block_center
mineshaft_chunk,360,1880,chunk
mineshaft_center,5768,30088,block_center
mineshaft_chunk,360,2040,chunk
mineshaft_center,5768,32648,block_center
mineshaft_chunk,376,-2424,chunk
mineshaft_center,6024,-38776,block_center
mineshaft_chunk,376,-2296,chunk
mineshaft_center,6024,-36728,block_center
mineshaft_chunk,392,-1112,chunk
mineshaft_center,6280,-17784,block_center
mineshaft_chunk,392,-888,chunk
mineshaft_center,6280,-14200,block_center
mineshaft_chunk,392,2440,chunk
mineshaft_center,6280,39048,block_center
mineshaft_chunk,392,2504,chunk
mineshaft_center,6280,40072,block_center
mineshaft_chunk,408,-920,chunk
mineshaft_center,6536,-14712,block_center
mineshaft_chunk,440,-1784,chunk
mineshaft_center,7048,-28536,block_center
mineshaft_chunk,440,2328,chunk
mineshaft_center,7048,37256,block_center
mineshaft_chunk,456,1416,chunk
mineshaft_center,7304,22664,block_center
mineshaft_chunk,456,1560,chunk
mineshaft_center,7304,24968,block_center
mineshaft_chunk,456,2120,chunk
mineshaft_center,7304,33928,block_center
mineshaft_chunk,488,-1672,chunk
mineshaft_center,7816,-26744,block_center
mineshaft_chunk,488,-24,chunk
mineshaft_center,7816,-376,block_center
mineshaft_chunk,520,664,chunk
mineshaft_center,8328,10632,block_center
mineshaft_chunk,520,1912,chunk
mineshaft_center,8328,30600,block_center
mineshaft_chunk,536,-2488,chunk
mineshaft_center,8584,-39800,block_center
mineshaft_chunk,536,1464,chunk
mineshaft_center,8584,23432,block_center
mineshaft_chunk,536,1624,chunk
mineshaft_center,8584,25992,block_center
mineshaft_chunk,536,2136,chunk
mineshaft_center,8584,34184,block_center
mineshaft_chunk,552,2456,chunk
mineshaft_center,8840,39304,block_center
mineshaft_chunk,568,-1352,chunk
mineshaft_center,9096,-21624,block_center
mineshaft_chunk,584,1608,chunk
mineshaft_center,9352,25736,block_center
mineshaft_chunk,584,1880,chunk
mineshaft_center,9352,30088,block_center
mineshaft_chunk,616,-2312,chunk
mineshaft_center,9864,-36984,block_center
mineshaft_chunk,616,-1640,chunk
mineshaft_center,9864,-26232,block_center
mineshaft_chunk,632,-1832,chunk
mineshaft_center,10120,-29304,block_center
mineshaft_chunk,632,-1224,chunk
mineshaft_center,10120,-19576,block_center
mineshaft_chunk,648,-1272,chunk
mineshaft_center,10376,-20344,block_center
mineshaft_chunk,648,1624,chunk
mineshaft_center,10376,25992,block_center
mineshaft_chunk,664,-1688,chunk
mineshaft_center,10632,-27000,block_center
mineshaft_chunk,728,1480,chunk
mineshaft_center,11656,23688,block_center
mineshaft_chunk,744,872,chunk
mineshaft_center,11912,13960,block_center
mineshaft_chunk,760,2440,chunk
mineshaft_center,12168,39048,block_center
mineshaft_chunk,776,-248,chunk
mineshaft_center,12424,-3960,block_center
mineshaft_chunk,808,-1368,chunk
mineshaft_center,12936,-21880,block_center
mineshaft_chunk,808,-920,chunk
mineshaft_center,12936,-14712,block_center
mineshaft_chunk,808,-712,chunk
mineshaft_center,12936,-11384,block_center
mineshaft_chunk,872,680,chunk
mineshaft_center,13960,10888,block_center
mineshaft_chunk,888,-2456,chunk
mineshaft_center,14216,-39288,block_center
mineshaft_chunk,888,-1128,chunk
mineshaft_center,14216,-18040,block_center
mineshaft_chunk,888,440,chunk
mineshaft_center,14216,7048,block_center
mineshaft_chunk,904,1144,chunk
mineshaft_center,14472,18312,block_center
mineshaft_chunk,920,-2024,chunk
mineshaft_center,14728,-32376,block_center
mineshaft_chunk,920,1608,chunk
mineshaft_center,14728,25736,block_center
mineshaft_chunk,952,-2504,chunk
mineshaft_center,15240,-40056,block_center
mineshaft_chunk,984,1992,chunk
mineshaft_center,15752,31880,block_center
mineshaft_chunk,1000,1464,chunk
mineshaft_center,16008,23432,block_center
mineshaft_chunk,1016,1560,chunk
mineshaft_center,16264,24968,block_center
mineshaft_chunk,1032,-520,chunk
mineshaft_center,16520,-8312,block_center
mineshaft_chunk,1048,-2504,chunk
mineshaft_center,16776,-40056,block_center
mineshaft_chunk,1064,-488,chunk
mineshaft_center,17032,-7800,block_center
mineshaft_chunk,1064,56,chunk
mineshaft_center,17032,904,block_center
mineshaft_chunk,1128,1960,chunk
mineshaft_center,18056,31368,block_center
mineshaft_chunk,1160,1880,chunk
mineshaft_center,18568,30088,block_center
mineshaft_chunk,1160,2088,chunk
mineshaft_center,18568,33416,block_center
mineshaft_chunk,1176,1992,chunk
mineshaft_center,18824,31880,block_center
mineshaft_chunk,1192,-1448,chunk
mineshaft_center,19080,-23160,block_center
mineshaft_chunk,1192,168,chunk
mineshaft_center,19080,2696,block_center
mineshaft_chunk,1208,-520,chunk
mineshaft_center,19336,-8312,block_center
mineshaft_chunk,1208,-408,chunk
mineshaft_center,19336,-6520,block_center
mineshaft_chunk,1208,1848,chunk
mineshaft_center,19336,29576,block_center
mineshaft_chunk,1224,-1432,chunk
mineshaft_center,19592,-22904,block_center
mineshaft_chunk,1224,-1128,chunk
mineshaft_center,19592,-18040,block_center
mineshaft_chunk,1256,-2312,chunk
mineshaft_center,20104,-36984,block_center
mineshaft_chunk,1256,-1480,chunk
mineshaft_center,20104,-23672,block_center
mineshaft_chunk,1256,2264,chunk
mineshaft_center,20104,36232,block_center
mineshaft_chunk,1288,-1480,chunk
mineshaft_center,20616,-23672,block_center
mineshaft_chunk,1288,-472,chunk
mineshaft_center,20616,-7544,block_center
mineshaft_chunk,1288,1816,chunk
mineshaft_center,20616,29064,block_center
mineshaft_chunk,1288,2280,chunk
mineshaft_center,20616,36488,block_center
mineshaft_chunk,1320,-904,chunk
mineshaft_center,21128,-14456,block_center
mineshaft_chunk,1352,-1640,chunk
mineshaft_center,21640,-26232,block_center
mineshaft_chunk,1352,-1624,chunk
mineshaft_center,21640,-25976,block_center
mineshaft_chunk,1352,1848,chunk
mineshaft_center,21640,29576,block_center
mineshaft_chunk,1352,2408,chunk
mineshaft_center,21640,38536,block_center
mineshaft_chunk,1368,-2072,chunk
mineshaft_center,21896,-33144,block_center
mineshaft_chunk,1368,-1224,chunk
mineshaft_center,21896,-19576,block_center
mineshaft_chunk,1368,744,chunk
mineshaft_center,21896,11912,block_center
mineshaft_chunk,1384,152,chunk
mineshaft_center,22152,2440,block_center
mineshaft_chunk,1384,1912,chunk
mineshaft_center,22152,30600,block_center
mineshaft_chunk,1400,-344,chunk
mineshaft_center,22408,-5496,block_center
mineshaft_chunk,1416,-2472,chunk
mineshaft_center,22664,-39544,block_center
mineshaft_chunk,1416,360,chunk
mineshaft_center,22664,5768,block_center
mineshaft_chunk,1448,-1384,chunk
mineshaft_center,23176,-22136,block_center
mineshaft_chunk,1448,1448,chunk
mineshaft_center,23176,23176,block_center
mineshaft_chunk,1464,1480,chunk
mineshaft_center,23432,23688,block_center
mineshaft_chunk,1496,-968,chunk
mineshaft_center,23944,-15480,block_center
mineshaft_chunk,1496,-232,chunk
mineshaft_center,23944,-3704,block_center
mineshaft_chunk,1496,1976,chunk
mineshaft_center,23944,31624,block_center
mineshaft_chunk,1528,-1464,chunk
mineshaft_center,24456,-23416,block_center
mineshaft_chunk,1576,1240,chunk
mineshaft_center,25224,19848,block_center
mineshaft_chunk,1592,-72,chunk
mineshaft_center,25480,-1144,block_center
mineshaft_chunk,1592,1416,chunk
mineshaft_center,25480,22664,block_center
mineshaft_chunk,1608,-2184,chunk
mineshaft_center,25736,-34936,block_center
mineshaft_chunk,1608,1512,chunk
mineshaft_center,25736,24200,block_center
mineshaft_chunk,1624,1112,chunk
mineshaft_center,25992,17800,block_center
mineshaft_chunk,1656,280,chunk
mineshaft_center,26504,4488,block_center
mineshaft_chunk,1672,824,chunk
mineshaft_center,26760,13192,block_center
mineshaft_chunk,1688,1320,chunk
mineshaft_center,27016,21128,block_center
mineshaft_chunk,1688,1640,chunk
mineshaft_center,27016,26248,block_center
mineshaft_chunk,1704,664,chunk
mineshaft_center,27272,10632,block_center
mineshaft_chunk,1720,2264,chunk
mineshaft_center,27528,36232,block_center
mineshaft_chunk,1736,472,chunk
mineshaft_center,27784,7560,block_center
mineshaft_chunk,1752,-392,chunk
mineshaft_center,28040,-6264,block_center
mineshaft_chunk,1752,440,chunk
mineshaft_center,28040,7048,block_center
mineshaft_chunk,1752,1032,chunk
mineshaft_center,28040,16520,block_center
mineshaft_chunk,1752,2344,chunk
mineshaft_center,28040,37512,block_center
mineshaft_chunk,1768,760,chunk
mineshaft_center,28296,12168,block_center
mineshaft_chunk,1784,-1880,chunk
mineshaft_center,28552,-30072,block_center
mineshaft_chunk,1816,-2232,chunk
mineshaft_center,29064,-35704,block_center
mineshaft_chunk,1816,1144,chunk
mineshaft_center,29064,18312,block_center
mineshaft_chunk,1832,-2152,chunk
mineshaft_center,29320,-34424,block_center
mineshaft_chunk,1832,1160,chunk
mineshaft_center,29320,18568,block_center
mineshaft_chunk,1848,-2264,chunk
mineshaft_center,29576,-36216,block_center
mineshaft_chunk,1848,2216,chunk
mineshaft_center,29576,35464,block_center
mineshaft_chunk,1864,-1784,chunk
mineshaft_center,29832,-28536,block_center
mineshaft_chunk,1864,872,chunk
mineshaft_center,29832,13960,block_center
mineshaft_chunk,1880,-1192,chunk
mineshaft_center,30088,-19064,block_center
mineshaft_chunk,1880,-1144,chunk
mineshaft_center,30088,-18296,block_center
mineshaft_chunk,1880,264,chunk
mineshaft_center,30088,4232,block_center
mineshaft_chunk,1912,-1816,chunk
mineshaft_center,30600,-29048,block_center
mineshaft_chunk,1912,1912,chunk
mineshaft_center,30600,30600,block_center
mineshaft_chunk,1928,-1112,chunk
mineshaft_center,30856,-17784,block_center
mineshaft_chunk,1928,1880,chunk
mineshaft_center,30856,30088,block_center
mineshaft_chunk,1944,-88,chunk
mineshaft_center,31112,-1400,block_center
mineshaft_chunk,1976,-2008,chunk
mineshaft_center,31624,-32120,block_center
mineshaft_chunk,1992,-1048,chunk
mineshaft_center,31880,-16760,block_center
mineshaft_chunk,2024,-2520,chunk
mineshaft_center,32392,-40312,block_center
mineshaft_chunk,2024,-104,chunk
mineshaft_center,32392,-1656,block_center
mineshaft_chunk,2072,328,chunk
mineshaft_center,33160,5256,block_center
mineshaft_chunk,2088,-1288,chunk
mineshaft_center,33416,-20600,block_center
mineshaft_chunk,2088,-312,chunk
mineshaft_center,33416,-4984,block_center
mineshaft_chunk,2088,1256,chunk
mineshaft_center,33416,20104,block_center
mineshaft_chunk,2104,120,chunk
mineshaft_center,33672,1928,block_center
mineshaft_chunk,2120,-2248,chunk
mineshaft_center,33928,-35960,block_center
mineshaft_chunk,2136,968,chunk
mineshaft_center,34184,15496,block_center
mineshaft_chunk,2152,-392,chunk
mineshaft_center,34440,-6264,block_center
mineshaft_chunk,2152,1832,chunk
mineshaft_center,34440,29320,block_center
mineshaft_chunk,2168,-1368,chunk
mineshaft_center,34696,-21880,block_center
mineshaft_chunk,2184,-2504,chunk
mineshaft_center,34952,-40056,block_center
mineshaft_chunk,2184,-232,chunk
mineshaft_center,34952,-3704,block_center
mineshaft_chunk,2232,1704,chunk
